seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 3, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 1, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_shards: 200, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/non-iid/MNIST_lenet_non-iid_NoAttack_Mean_100_3_0.01_FedOpt.txt

Started on Tue Sep 30 18:48:22 2025
Generating new indices
Doing non-iid partition (Dirichlet)
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0906	Train loss: 0.0359	Test Acc: 0.0982	Test loss: 0.0362
Epoch 1  		Train Acc: 0.1615	Train loss: 0.0358	Test Acc: 0.0991	Test loss: 0.0361
Epoch 2  		Train Acc: 0.1812	Train loss: 0.0357	Test Acc: 0.1066	Test loss: 0.0361
Epoch 3  		Train Acc: 0.2000	Train loss: 0.0356	Test Acc: 0.1628	Test loss: 0.0360
Epoch 4  		Train Acc: 0.2594	Train loss: 0.0355	Test Acc: 0.2541	Test loss: 0.0360
Epoch 5  		Train Acc: 0.2823	Train loss: 0.0353	Test Acc: 0.2914	Test loss: 0.0359
Epoch 6  		Train Acc: 0.2740	Train loss: 0.0351	Test Acc: 0.2871	Test loss: 0.0357
Epoch 7  		Train Acc: 0.2885	Train loss: 0.0349	Test Acc: 0.2854	Test loss: 0.0355
Epoch 8  		Train Acc: 0.3146	Train loss: 0.0342	Test Acc: 0.2488	Test loss: 0.0351
Epoch 9  		Train Acc: 0.2906	Train loss: 0.0331	Test Acc: 0.2955	Test loss: 0.0342
Epoch 10 		Train Acc: 0.4031	Train loss: 0.0306	Test Acc: 0.3859	Test loss: 0.0321
Epoch 11 		Train Acc: 0.4542	Train loss: 0.0279	Test Acc: 0.4522	Test loss: 0.0286
Epoch 12 		Train Acc: 0.5490	Train loss: 0.0235	Test Acc: 0.5827	Test loss: 0.0221
Epoch 13 		Train Acc: 0.6198	Train loss: 0.0181	Test Acc: 0.6028	Test loss: 0.0190
Epoch 14 		Train Acc: 0.6813	Train loss: 0.0149	Test Acc: 0.7768	Test loss: 0.0124
Epoch 15 		Train Acc: 0.7594	Train loss: 0.0113	Test Acc: 0.8237	Test loss: 0.0100
